seed,Silhouette,CH,DB,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
2,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
3,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
4,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
5,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
6,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
7,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
8,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
9,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
10,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
11,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
12,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
13,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
14,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
15,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
16,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
17,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
18,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
19,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
20,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
21,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
22,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
23,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
24,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
25,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
26,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
27,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
28,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
29,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
30,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
31,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
32,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
33,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
34,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
35,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
36,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
37,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
38,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
39,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
40,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
41,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
42,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
43,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
44,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
45,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
46,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
47,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
48,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
49,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
50,0.386111,99.824497,1.236703,0.276164,0.284,0.3548,0.5339,0.7205
