seed,Silhouette,CH,DB,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
2,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
3,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
4,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
5,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
6,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
7,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
8,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
9,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
10,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
11,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
12,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
13,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
14,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
15,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
16,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
17,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
18,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
19,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
20,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
21,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
22,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
23,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
24,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
25,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
26,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
27,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
28,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
29,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
30,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
31,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
32,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
33,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
34,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
35,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
36,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
37,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
38,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
39,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
40,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
41,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
42,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
43,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
44,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
45,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
46,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
47,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
48,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
49,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
50,0.428295,179.44311,0.970376,0.345718,0.267605633802817,0.413185163310718,0.268007802285296,0.585095118549792
