seed,Silhouette,CH,DB,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
2,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
3,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
4,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
5,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
6,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
7,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
8,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
9,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
10,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
11,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
12,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
13,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
14,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
15,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
16,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
17,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
18,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
19,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
20,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
21,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
22,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
23,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
24,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
25,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
26,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
27,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
28,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
29,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
30,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
31,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
32,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
33,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
34,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
35,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
36,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
37,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
38,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
39,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
40,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
41,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
42,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
43,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
44,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
45,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
46,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
47,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
48,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
49,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
50,0.394006,198.830137,1.121378,0.359,0.25,0.459885369569399,0.293953309756011,0.532705562347815
