seed,Silhouette,CH,DB,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.956608,322.859899,0.256804,0.539649,0.242603550295858,0.88713037455641,0.904102616010977,0.460351315351315
2,0.912603,124.779167,0.74501,0.45732,0.272189349112426,0.865025034722562,0.895211435925722,0.542680159664182
3,0.870981,115.172413,0.724758,0.469061,0.284023668639053,0.847133244318379,0.496152155197975,0.53093901038991
4,0.93302,140.665607,0.502401,0.407285,0.254437869822485,0.84226565306145,0.744074642663448,0.459381245029323
5,0.907568,149.493838,0.615169,0.522911,0.266272189349112,0.899352428828263,0.952745224574084,0.47708947885939
6,0.955352,186.7755,0.228042,0.394156,0.266272189349112,0.895639475017923,0.869181141439206,0.445843775447271
7,0.92885,101.712523,0.48998,0.470602,0.236686390532544,0.938723143344185,0.582087263246684,0.52939811268293
8,0.949696,181.08826,0.401656,0.394942,0.27810650887574,0.862770716606127,0.811502897912294,0.46220132288568
9,0.956931,194.324696,0.224959,0.400206,0.266272189349112,0.894848668699616,0.839821254014802,0.439793931674476
10,0.932702,103.940434,0.718479,0.437885,0.260355029585799,0.918355204808111,0.859643605870021,0.562114674079502
11,0.94305,180.704419,0.298169,0.34692,0.272189349112426,0.870785278633889,0.654782767256626,0.364389462901877
12,0.860904,151.505801,0.441146,0.289408,0.313609467455621,0.589228149639279,0.827276685888327,0.610592344262599
13,0.957342,184.06934,0.273785,0.4394,0.27810650887574,0.910726492556475,0.771653509888804,0.400600289296046
14,0.951224,206.313256,0.374404,0.424537,0.242603550295858,0.86302408545872,0.772139906190787,0.442129896100188
15,0.664088,158.161745,0.647032,0.347644,0.313609467455621,0.470996236426102,0.669977324263039,0.538070016897793
16,0.950781,190.147289,0.31113,0.364752,0.27810650887574,0.853180781456599,1.02723058335303,0.510247731288134
17,0.912183,94.244525,0.853355,0.386605,0.272189349112426,0.866338462708325,0.77111662846957,0.613395426160873
18,0.950264,184.893517,0.1776,0.398742,0.260355029585799,0.898613196027831,0.86929693961952,0.441258241916444
19,0.92987,175.111987,0.507081,0.446552,0.27810650887574,0.881249188975257,0.858465229147523,0.553448064630042
20,0.915012,190.455557,0.353161,0.40768,0.284023668639053,0.773614400881283,0.888883490610109,0.592319820586097
21,0.866883,73.558745,0.36479,0.525424,0.248520710059172,0.936266230820542,0.88433018299271,0.474575669377182
22,0.928936,131.855756,0.86746,0.457886,0.289940828402367,0.882540271399688,0.731675696594427,0.542114494700702
23,0.948542,153.939357,0.481119,0.341998,0.260355029585799,0.87544644386599,0.882760376878024,0.658001890582536
24,0.965817,273.484204,0.305373,0.399187,0.27810650887574,0.874918037615162,0.780774176058247,0.429384300655428
25,0.888885,111.092627,0.604063,0.43636,0.272189349112426,0.871467522171073,0.803830022075055,0.56363989766068
26,0.953015,187.753431,0.283087,0.386002,0.266272189349112,0.899832358255004,0.689134109259281,0.4139975343214
27,0.934666,126.777953,0.504813,0.439876,0.254437869822485,0.897265716910166,0.836847265221878,0.560123559709219
28,0.606271,210.919389,0.499735,0.261781,0.307692307692308,0.464160491692484,0.730276421307289,0.623933191846976
29,0.955522,174.274923,0.561979,0.413069,0.272189349112426,0.865531927070389,1.09157345264728,0.58693065359732
30,0.963188,178.061616,0.159375,0.442524,0.254437869822485,0.920804477677625,0.836641852770885,0.397475771917963
31,0.952364,188.889614,0.339029,0.375525,0.27810650887574,0.857735268880331,0.927833202329847,0.62447466917016
32,0.914428,113.67092,0.555432,0.475236,0.284023668639053,0.875239533508041,1.07175906654052,0.524763543521696
33,0.839441,135.620488,0.637495,0.336782,0.27810650887574,0.589858042824592,0.650607515292939,0.663218087362811
34,0.930273,143.271506,0.537178,0.487362,0.27810650887574,0.876448347512476,1.06512623841483,0.512637736390272
35,0.952722,179.586547,0.437907,0.418044,0.27810650887574,0.876641714560743,0.990086972397882,0.581955980861244
36,0.926617,119.607679,0.62377,0.413882,0.27810650887574,0.866804986030157,0.532420161883738,0.42611792998371
37,0.637232,307.524831,0.839688,0.501077,0.295857988165681,0.553355447384695,0.330814814814815,0.498922934261965
38,0.923283,166.325014,0.542412,0.427642,0.266272189349112,0.890188084171796,0.898716683643154,0.572358135180283
39,0.894087,110.773165,0.62983,0.382148,0.284023668639053,0.811122626329723,0.788811467295202,0.617852443039037
40,0.957291,206.889806,0.473418,0.482329,0.266272189349112,0.911020593036022,0.770900429882654,0.517670978972811
41,0.945394,245.301618,0.388639,0.470397,0.254437869822485,0.880297466958903,0.628147272153895,0.529602579284173
42,0.935684,168.131516,0.296746,0.515837,0.27810650887574,0.894778135200349,0.914508083935329,0.484162602564023
43,0.901391,196.775679,0.434685,0.337325,0.284023668639053,0.687553950214626,0.925364397057831,0.662674848136039
44,0.950101,202.310807,0.33465,0.385281,0.284023668639053,0.842115683186332,0.757199546485261,0.614718882906802
45,0.890697,144.090881,0.641298,0.493913,0.301775147928994,0.837512751209675,0.685980487253495,0.506086523422764
46,0.906435,126.606753,0.710035,0.493044,0.27810650887574,0.887980795499698,0.626800237348338,0.506955667176294
47,0.957761,218.596519,0.490181,0.46432,0.27810650887574,0.88089219056297,1.09962820959684,0.535679851245615
48,0.936367,170.657983,0.392093,0.41217,0.272189349112426,0.862523598342094,0.675971282884035,0.42783021728884
49,0.934581,151.351747,0.532092,0.392183,0.289940828402367,0.84678017227183,0.752590342019872,0.607816596389152
50,0.927586,135.264516,0.495537,0.463532,0.248520710059172,0.911721092031445,0.637665828794861,0.53646813960935
