seed,Silhouette,CH,DB,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.670281,424.535477,0.604218,0.302328,0.194805194805195,0.472279358510757,0.247812600383411,0.546156685411474
2,0.673074,641.425916,0.693959,0.29541,0.211502782931354,0.46347867976752,0.194888868193953,0.704590461065539
3,0.703471,676.902174,0.61572,0.373964,0.211502782931354,0.504989154722922,0.115589582461876,0.626035766468562
4,0.648547,372.326059,0.808109,0.349405,0.196660482374768,0.483630074078598,0.273205195161188,0.65059481250771
5,0.656038,491.788431,0.727476,0.291508,0.213358070500928,0.493937605833336,0.29113213384716,0.70849234530267
6,0.659995,471.925616,0.650668,0.320705,0.200371057513915,0.483425689444824,0.162499124170091,0.527779534982025
7,0.683039,643.369847,0.647663,0.289478,0.215213358070501,0.483328162177047,0.291000658730662,0.710521709731902
8,0.672083,566.780679,0.734378,0.295895,0.211502782931354,0.467263771180792,0.195502496583324,0.704105037453094
9,0.540769,545.566093,0.659336,0.247059,0.183673469387755,0.350288339648917,0.237070004755636,0.623070882270966
10,0.908446,427.02754,0.626028,0.490124,0.204081632653061,0.808810337764791,0.207692424233919,0.509876012303909
11,0.692134,607.982052,0.663642,0.291315,0.213358070500928,0.481365836737077,0.302057851719853,0.708685234703318
12,0.705701,641.868945,0.641765,0.292735,0.211502782931354,0.499625163218332,0.293760094570377,0.707264583076439
13,0.673185,477.46138,0.64573,0.407075,0.204081632653061,0.498605502931797,0.1625534959188,0.592925120235925
14,0.639903,435.960517,0.754857,0.383857,0.213358070500928,0.53513935884719,0.116026615548416,0.616143174652346
15,0.688139,639.348509,0.65277,0.379948,0.213358070500928,0.507445672368095,0.120659980293733,0.620051698537278
16,0.678479,626.377815,0.531892,0.326267,0.207792207792208,0.503220808655764,0.160807144849153,0.491914499371443
17,0.6936,482.720253,0.634504,0.332903,0.198515769944341,0.487376898364789,0.289906731330701,0.667096787515282
18,0.696291,653.92629,0.668273,0.299296,0.207792207792208,0.466029598536268,0.194814502427064,0.700704218832757
19,0.675332,499.965656,0.710044,0.29492,0.211502782931354,0.499490034140076,0.295150493932577,0.705080160807973
20,0.684625,546.833457,0.546754,0.311635,0.200371057513915,0.481309543176653,0.171631885853106,0.536849562213799
21,0.666831,549.695954,0.671525,0.372308,0.213358070500928,0.503833467861413,0.115514581229848,0.627692452571413
22,0.664496,577.391085,0.692756,0.370066,0.213358070500928,0.497955491524681,0.120193856718775,0.629933909401484
23,0.652635,381.22543,0.700853,0.403906,0.198515769944341,0.487945997439369,0.161757297327304,0.596093533483161
24,0.682804,530.988773,0.696043,0.292749,0.211502782931354,0.495094022486051,0.292427733319088,0.707251015284212
25,0.610958,695.960641,0.711586,0.294524,0.185528756957328,0.417395221280616,0.306718013529443,0.70547642692727
26,0.66798,552.426453,0.676905,0.374045,0.211502782931354,0.518537785004204,0.115517169017101,0.625955113707961
27,0.691381,664.115899,0.676416,0.384719,0.215213358070501,0.49062720417146,0.0765271630679309,0.615280996667064
28,0.669401,695.478143,0.592083,0.384706,0.202226345083488,0.501213059933063,0.156011278679755,0.615293783138379
29,0.602967,304.203868,0.822543,0.330562,0.194805194805195,0.481620556265348,0.274533130357658,0.669437672793652
30,0.70403,707.147085,0.629544,0.291368,0.211502782931354,0.480064012249062,0.236744948216407,0.708632406295671
31,0.711123,685.866555,0.613984,0.381587,0.217068645640074,0.518240222387896,0.120712202229787,0.618413049696653
32,0.713599,632.209053,0.644843,0.385256,0.218923933209648,0.522842576798046,0.120876135394997,0.614744010832606
33,0.655628,346.949211,0.691958,0.300024,0.204081632653061,0.44430716845846,0.25968704405928,0.699976233002345
34,0.623833,490.245115,0.754288,0.372305,0.211502782931354,0.501132914843496,0.119499572013267,0.627694952742966
35,0.693403,542.933812,0.627264,0.412785,0.192949907235622,0.500496523027714,0.13984242247564,0.587214667602413
36,0.701845,631.299792,0.631105,0.373742,0.213358070500928,0.503892747049688,0.115584566424857,0.626258239125236
37,0.619211,566.976155,0.715484,0.397554,0.191094619666048,0.492152258977238,0.136434143010703,0.602445646094334
38,0.653603,352.0076,0.677923,0.346764,0.181818181818182,0.470261837365213,0.318106446812639,0.65323585666435
39,0.619773,336.370281,0.799318,0.290571,0.211502782931354,0.47384929283577,0.279143720018889,0.709428867580744
40,0.678588,417.697258,0.716946,0.413217,0.217068645640074,0.50472989958626,0.217747895930066,0.586782650277354
41,0.667017,428.929218,0.670683,0.325373,0.198515769944341,0.48759032187345,0.340326717194478,0.674627138092157
42,0.6729,576.715991,0.674557,0.371371,0.211502782931354,0.501221678439067,0.115481438153565,0.628629435160621
43,0.680353,476.703368,0.658469,0.338659,0.200371057513915,0.462804685061754,0.217246296973539,0.661340950995675
44,0.881264,346.27187,0.758474,0.586365,0.244897959183673,0.886565890102614,0.253340707738973,0.41363462022934
45,0.658033,388.528492,0.782711,0.400518,0.209647495361781,0.508792089687237,0.138142175093981,0.599481618388089
46,0.67427,497.12887,0.652459,0.401372,0.207792207792208,0.510349751088715,0.169801255498202,0.598627531028312
47,0.688865,639.656388,0.632736,0.290987,0.215213358070501,0.487533789143749,0.292324048823508,0.709013452328091
48,0.660315,397.715692,0.576224,0.322461,0.207792207792208,0.508515598448343,0.179473570393727,0.495720703494129
49,0.663677,588.058474,0.673084,0.369498,0.211502782931354,0.505065069942438,0.115348241990399,0.630501812238935
50,0.665463,470.511976,0.651027,0.386252,0.192949907235622,0.491806536580787,0.138489214023282,0.613747951195986
