seed,Silhouette,CH,DB,MQ,MoJoFM,TurboMQ,Cohesion,Coupling
1,0.90737,267.734137,0.553338,0.514019,0.545774647887324,0.881754577328911,0.470385227581846,0.485981109861752
2,0.956925,305.964853,0.288096,0.691738,0.52112676056338,0.946331380172993,0.711836247647896,0.308262204535327
3,0.955997,331.297264,0.320298,0.684559,0.53169014084507,0.943537161864224,0.684086588947045,0.315440746109062
4,0.939549,196.77133,0.586461,0.535151,0.53169014084507,0.910178936603941,0.852397798742138,0.464848643488163
5,0.947685,201.428478,0.279838,0.548827,0.524647887323944,0.935078132209965,1.03328546084312,0.451173267231996
6,0.913372,244.726121,0.677551,0.584164,0.559859154929578,0.913653254513029,0.473892983533678,0.41583606928539
7,0.825706,285.803477,0.658814,0.426574,0.507042253521127,0.729562669562766,0.516165314028276,0.573425672994249
8,0.948007,183.298935,0.392271,0.53983,0.538732394366197,0.929401899474745,0.934128646464967,0.460170398713947
9,0.963495,352.497848,0.306244,0.494531,0.524647887323944,0.891286358513341,0.890030529450039,0.505468646083773
10,0.895939,171.209869,0.6488,0.612318,0.566901408450704,0.898865880111506,0.50269836627833,0.387682317120616
11,0.964687,342.095823,0.340598,0.519664,0.528169014084507,0.927478045700413,0.679228042590754,0.480336481882075
12,0.907094,163.43398,0.368464,0.661185,0.542253521126761,0.938134357944029,0.710210021566072,0.338815152494479
13,0.944171,279.052974,0.405526,0.569431,0.566901408450704,0.929749920330938,0.851907880945701,0.43056948919393
14,0.951983,281.643021,0.594278,0.52454,0.528169014084507,0.942952405664116,0.570994018763717,0.475459641563761
15,0.967547,379.128793,0.334955,0.649837,0.535211267605634,0.943177135099755,0.711790352930378,0.350162554981832
16,0.951659,344.369059,0.397156,0.580841,0.566901408450704,0.907618551197585,0.811683980678886,0.419159152696605
17,0.959062,284.666273,0.480103,0.51156,0.53169014084507,0.930400929591845,0.716691952258925,0.488440174083079
18,0.952686,192.745973,0.634227,0.650777,0.53169014084507,0.943884224514263,0.934385263010492,0.349222771411075
19,0.944712,204.445479,0.31322,0.650777,0.53169014084507,0.943884224514263,0.934385263010492,0.349222771411075
20,0.93316,427.799121,0.485276,0.535916,0.545774647887324,0.836221641957516,0.319934562546883,0.464084017692432
21,0.955468,209.036121,0.312486,0.568068,0.53169014084507,0.960991158335141,0.841128536285363,0.43193203645902
22,0.971122,274.625175,0.403828,0.483022,0.53169014084507,0.957036462806184,1.05963987703118,0.516977506990749
23,0.954654,280.341212,0.697769,0.483124,0.528169014084507,0.934577171427377,0.448827389967415,0.516875751453017
24,0.965366,350.746912,0.353985,0.684841,0.52112676056338,0.939703935248498,0.867450859854038,0.315158906276339
25,0.949337,211.284022,0.37318,0.561915,0.53169014084507,0.938893210962305,0.770099548724778,0.438085098850825
26,0.922126,220.018777,0.560954,0.661475,0.524647887323944,0.925052551522771,0.654559748427673,0.338525318942167
27,0.961115,313.987042,0.38395,0.664253,0.524647887323944,0.941059770937798,0.796999169271493,0.335747223900837
28,0.920307,178.878056,0.51841,0.727995,0.573943661971831,0.948931652712372,0.65054002768373,0.272005454006669
29,0.950586,373.022969,0.400505,0.609763,0.556338028169014,0.928993495166485,0.639723405415035,0.390236517520252
30,0.952183,229.023463,0.285312,0.685703,0.542253521126761,0.976721392523725,0.738116935781169,0.314296782367872
31,0.966615,417.094061,0.278527,0.557909,0.535211267605634,0.921062132593906,0.798782367058229,0.442090855534108
32,0.650757,299.082891,0.659992,0.528181,0.419014084507042,0.551220525376545,0.611396074234821,0.471819032211886
33,0.958746,355.496323,0.276875,0.53552,0.559859154929578,0.872227533021152,0.905640441600601,0.464480068817778
34,0.97005,403.773435,0.325968,0.68772,0.524647887323944,0.957146060128632,0.73390044824818,0.312280002545937
35,0.92434,185.555195,0.433511,0.529992,0.559859154929578,0.893737108283053,0.708354391433793,0.470008285855638
36,0.94655,239.784212,0.387058,0.664253,0.524647887323944,0.941059770937798,0.796999169271493,0.335747223900837
37,0.940046,193.612466,0.470002,0.668315,0.528169014084507,0.949546432470392,0.745597193366892,0.331684551409307
38,0.904651,230.43845,0.673515,0.557607,0.577464788732394,0.878702950536617,0.542685944778371,0.442392505430701
39,0.949691,290.280706,0.293449,0.628461,0.507042253521127,0.919720291779126,0.907448107448107,0.371539426736296
40,0.977439,580.921756,0.222754,0.660733,0.528169014084507,0.937245433228742,0.867422487035198,0.339266608838361
41,0.941915,178.888123,0.352457,0.668315,0.528169014084507,0.949546432470392,0.745597193366892,0.331684551409307
42,0.650192,361.965154,0.709745,0.466609,0.440140845070423,0.537477577281251,0.287884481395367,0.533391252033232
43,0.913904,125.137553,0.360873,0.686773,0.524647887323944,0.937608534110637,0.846646893462931,0.313226841434243
44,0.926954,204.690794,0.388837,0.608865,0.559859154929578,0.904706759180031,0.695773595773596,0.391135160626668
45,0.917047,224.50937,0.631348,0.609247,0.552816901408451,0.911926426152713,0.470367018319301,0.390753372225389
46,0.906493,253.895908,0.469909,0.642816,0.563380281690141,0.909171224172601,0.673945203081233,0.357184332610176
47,0.972992,396.422431,0.25563,0.537016,0.524647887323944,0.936363807034316,0.947571175128833,0.462983916071268
48,0.939237,203.368824,0.543055,0.601457,0.563380281690141,0.904246470575568,0.889240818891982,0.39854278539713
49,0.973731,411.849014,0.303541,0.481515,0.538732394366197,0.945801991781931,0.915690987933635,0.518484836197013
50,0.923321,252.169904,0.494072,0.607877,0.570422535211268,0.89319091173336,0.512060004357163,0.392122573994541
